Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133104-129258,TE,Dallas,Dallas Goedert,Goedert,7.214285850524902,14,6000,GB@PHI,PHI,GB,,,,,,TE/FLEX
133104-152698,TE,Brock,Brock Bowers,Bowers,0.0,0,5900,LV@LAC,LV,LAC,,,,,,TE/FLEX
133104-148293,TE,Jake,Jake Ferguson,Ferguson,10.058823585510254,17,5800,DAL@CLE,DAL,CLE,,,,,,TE/FLEX
133104-117529,TE,Mark,Mark Andrews,Andrews,7.699999809265137,10,5700,BAL@KC,BAL,KC,,,,,,TE/FLEX
133104-145333,TE,Pat,Pat Freiermuth,Freiermuth,6.058823585510254,17,5600,PIT@ATL,PIT,ATL,,,,,,TE/FLEX
133104-143439,TE,Evan,Evan Engram,Engram,9.352941513061523,17,5500,JAX@MIA,JAX,MIA,,,,,,TE/FLEX
133104-117533,TE,David,David Njoku,Njoku,10.5625,16,5400,DAL@CLE,CLE,DAL,,,,,,TE/FLEX
133104-152700,TE,Ben,Ben Sinnott,Sinnott,0.0,0,5300,WAS@TB,WAS,TB,,,,,,TE/FLEX
133104-149254,TE,Cade,Cade Otton,Otton,6.029411792755127,17,5200,TB@ATL,TB,ATL,,,,,,TE/FLEX
133104-135738,TE,Cole,Cole Kmet,Kmet,8.147058486938477,17,5100,TEN@CHI,CHI,TEN,,,,,,TE/FLEX
133104-143453,TE,Tyler,Tyler Conklin,Conklin,6.5,17,5000,BUF@NYJ,NYJ,BUF,,,,,,TE/FLEX
133104-149276,TE,Chigoziem,Chigoziem Okonkwo,Okonkwo,5.294117450714111,17,4900,TEN@CHI,TEN,CHI,,,,,,TE/FLEX
133104-152699,TE,Ja'Tavion,Ja'Tavion Sanders,Sanders,0.0,0,4800,CAR@NO,CAR,NO,,,,,,TE/FLEX
133104-122235,TE,Hunter,Hunter Henry,Henry,7.352941513061523,17,4700,NE@CIN,NE,CIN,,,,,,TE/FLEX
133104-152701,TE,Theo,Theo Johnson,Johnson,0.0,0,4600,MIN@NYG,NYG,MIN,,,,,,TE/FLEX
133104-149256,TE,Noah,Noah Fant,Fant,4.294117450714111,17,DEN@SEA,SEA,DEN,,,,,,TE/FLEX
